Creaminess,1,,7,9,6
Consonant Seasoning,1,,7,7,6
Seasonal Consonance,1,,6,7,6
Fragrance,1,,5,7,10
Turbidity,1,,6,6,6
Topicality,1,,6,10,3
Chunk Balance,1,,7,7,6
Ingenuity,1,,7,3,9

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,7,8,9,10,9
Consonant Seasoning,10,3,6,7,10
Seasonal Consonance,6,0,5,10,10
Fragrance,9,0,0,10,10
Turbidity,5,10,8,4,6
Topicality,4,5,5,5,10
Chunk Balance,8,3,6,10,10
Ingenuity,3,10,8,6,6

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,6,3,4,6,8
Consonant Seasoning,7,7,4,5,6
Seasonal Consonance,5,4,6,7,7
Fragrance,7,8,6,6,6
Turbidity,8,6,5,8,8
Topicality,6,4,5,8,8
Chunk Balance,9,7,4,9,9
Ingenuity,7,6,6,5,6

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,4,6,6,7,5
Consonant Seasoning,8,5,7,6,8
Seasonal Consonance,8,5,7,7,8
Fragrance,7,7,5,6,10
Turbidity,5,7,7,7,8
Topicality,5,5,5,10,7
Chunk Balance,6,5,7,10,8
Ingenuity,7,10,9,5,7

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,6,0,7,8,8
Consonant Seasoning,8,5,6,6,5
Seasonal Consonance,4,3,4,4,5
Fragrance,3,4,6,6,3
Turbidity,4,3,8,7,6
Topicality,0,2,7,5,8
Chunk Balance,8,3,8,8,8
Ingenuity,4,8,8,6,7

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,10,7,8,10,9
Consonant Seasoning,7,7,8,10,9
Seasonal Consonance,4,7,8,10,9
Fragrance,6,7,8,10,9
Turbidity,0,7,8,10,9
Topicality,0,7,8,10,9
Chunk Balance,9,7,8,10,9
Ingenuity,6,9,9,7,9

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,10,5,8,7,7
Consonant Seasoning,0,0,0,0,0
Seasonal Consonance,10,1,6,10,9
Fragrance,10,0,6,10,8
Turbidity,10,10,7,7,6
Topicality,0,0,0,0,0
Chunk Balance,10,4,7,10,6
Ingenuity,10,7,6,5,5

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,7,4,5,8,
Consonant Seasoning,1,5,9,6,
Seasonal Consonance,6,6,8,8,
Fragrance,3,5,8,6,
Turbidity,3,7,7,8,
Topicality,2,2,9,9,
Chunk Balance,4,7,9,8,
Ingenuity,8,7,5,4,

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,,,,5,
Consonant Seasoning,,,,5,
Seasonal Consonance,,,,5,
Fragrance,,,,4,3
Turbidity,,,,4,3
Topicality,,,,1,5
Chunk Balance,,,,5,
Ingenuity,,,,4,3

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,,2,1,7,3
Consonant Seasoning,,2,1,4,2
Seasonal Consonance,,2,2,5,5
Fragrance,,2,1,4,7
Turbidity,,7,4,4,3
Topicality,,6,2,6,7
Chunk Balance,,2,4,7,7
Ingenuity,,7,2,3,1

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,1,1,3,8,4
Consonant Seasoning,1,3,5,9,6
Seasonal Consonance,1,7,7,8,9
Fragrance,1,6,8,7,9
Turbidity,1,1,10,9,8
Topicality,1,3,6,7,8
Chunk Balance,1,0,5,7,7
Ingenuity,1,4,8,6,7

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,1,3,,10,2
Consonant Seasoning,1,6,,,3
Seasonal Consonance,1,4,,,4
Fragrance,1,4,,,8
Turbidity,10,8,,,4
Topicality,1,3,,,6
Chunk Balance,1,2,,,3
Ingenuity,1,9,,,4

,Category Significance,Chowder A,Chowder B,Chowder C,Chowder D
Creaminess,10,8,8,10,8
Consonant Seasoning,7,8,9,9,9
Seasonal Consonance,8,7,9,10,10
Fragrance,6,8,8,9,10
Turbidity,5,9,8,9,8
Topicality,4,5,8,10,10
Chunk Balance,9,7,9,10,9
Ingenuity,3,8,9,8,9
